review_id,trace_name,filename,event,region,Subset,primary_long_mixed,source_duration_s,reference_s,reference_grid_s,fixed_end_s,shift_s,shifted_start_s,energy_change_pct,fas_smoothed_l2_pct,psa_l2_pct
27,acCHB0121103221819,acCHB0121103221819.dat.correct.padremoved.v,2011-03-22 18:19:00,Kanto Basin,holdout_evaluation,True,183.91,55.66100098,55.660000000000004,183.91,-10,45.660000000000004,2.0774435050303186,3.225139947179254,1.4889180481097195
27,acCHB0121103221819,acCHB0121103221819.dat.correct.padremoved.v,2011-03-22 18:19:00,Kanto Basin,holdout_evaluation,True,183.91,55.66100098,55.660000000000004,183.91,-5,50.660000000000004,1.6480288671717247,2.437061219250676,1.3817031065000362
27,acCHB0121103221819,acCHB0121103221819.dat.correct.padremoved.v,2011-03-22 18:19:00,Kanto Basin,holdout_evaluation,True,183.91,55.66100098,55.660000000000004,183.91,0,55.660000000000004,0.0,0.0,0.0
27,acCHB0121103221819,acCHB0121103221819.dat.correct.padremoved.v,2011-03-22 18:19:00,Kanto Basin,holdout_evaluation,True,183.91,55.66100098,55.660000000000004,183.91,5,60.660000000000004,-2.6999816141945576,4.8822071006744725,2.7499280595051214
27,acCHB0121103221819,acCHB0121103221819.dat.correct.padremoved.v,2011-03-22 18:19:00,Kanto Basin,holdout_evaluation,True,183.91,55.66100098,55.660000000000004,183.91,10,65.66,-6.225619113119052,7.196086052175126,4.094112053354144
28,acCHB0081104111716,acCHB0081104111716.dat.correct.padremoved.v,2011-04-11 17:16:00,Kanto Basin,holdout_evaluation,True,234.95000000000002,49.40100098,49.4,234.95000000000002,-10,39.4,1.8371392685811783,3.6100137994808117,3.5672840296452875
28,acCHB0081104111716,acCHB0081104111716.dat.correct.padremoved.v,2011-04-11 17:16:00,Kanto Basin,holdout_evaluation,True,234.95000000000002,49.40100098,49.4,234.95000000000002,-5,44.4,0.9982469636216296,2.9341254493639246,2.9995547202971813
28,acCHB0081104111716,acCHB0081104111716.dat.correct.padremoved.v,2011-04-11 17:16:00,Kanto Basin,holdout_evaluation,True,234.95000000000002,49.40100098,49.4,234.95000000000002,0,49.4,0.0,0.0,0.0
28,acCHB0081104111716,acCHB0081104111716.dat.correct.padremoved.v,2011-04-11 17:16:00,Kanto Basin,holdout_evaluation,True,234.95000000000002,49.40100098,49.4,234.95000000000002,5,54.4,-0.9419634510964947,3.964677853097958,6.023540984887718
28,acCHB0081104111716,acCHB0081104111716.dat.correct.padremoved.v,2011-04-11 17:16:00,Kanto Basin,holdout_evaluation,True,234.95000000000002,49.40100098,49.4,234.95000000000002,10,59.4,-6.215974727657403,12.153559044716113,11.644881256651779
29,acCHB0091104111716,acCHB0091104111716.dat.correct.padremoved.v,2011-04-11 17:16:00,Kanto Basin,training,True,172.95000000000002,45.36200195,45.36,172.95000000000002,-10,35.36,2.985161151241167,6.800834374621035,4.163535758341432
29,acCHB0091104111716,acCHB0091104111716.dat.correct.padremoved.v,2011-04-11 17:16:00,Kanto Basin,training,True,172.95000000000002,45.36200195,45.36,172.95000000000002,-5,40.36,1.2542883106700042,4.254821252994668,2.158907918318662
